id,image_id,best_caption,blip2_rr,clip_rr,retrieval_avg_rr,blip2_pk,clip_pk,retrieval_avg_pk,glide_score,sdxl_score,avg_generative_score
319365,363951,Black and white of windsurfers on a lake.,1.0,1.0,1.0,0.1,0.1,0.1,0.5,2.0,1.25
592015,568311,A black and white picture of several buses driving down a street.,0.25,0.125,0.1875,0.2,0.1,0.15,1.3333333333333333,2.0,1.6666666666666663
297524,78896,"A bed made up with linens, is outside on a street corner.",1.0,0.3333333333333333,0.6666666666666666,0.1,0.1,0.1,-0.5,1.6666666666666667,0.5833333333333334
462578,101622,A man in a cubicle with an Indiana Jones T Shirt talking on a cell phone.,1.0,1.0,1.0,0.1,0.1,0.1,0.0,1.6666666666666667,0.8333333333333334
590752,545209,"A surfer is riding a big wave on a white, red and gray surfboard.",0.05,0.0120481927710843,0.0310240963855421,0.0,0.0,0.0,-0.1666666666666666,2.0,0.9166666666666666
586484,26208,A wooden cutting board topped with slices of pizza.,1.0,1.0,1.0,0.5,0.3,0.4,0.3333333333333333,2.0,1.1666666666666667
399457,188120,People in a park trying to fly a large purple kite that looks like a fish.,1.0,0.1666666666666666,0.5833333333333334,0.1,0.1,0.1,-1.0,1.3333333333333333,0.1666666666666666
785782,471514,A young person jumping a snowboard off a snow ramp on a hillside.,0.5,0.0333333333333333,0.2666666666666666,0.2,0.0,0.1,1.0,2.0,1.5
319086,257796,A closed gated area with several stop signs displayed,1.0,0.037037037037037,0.5185185185185185,0.1,0.0,0.05,-0.25,1.75,0.75
310536,139457,A large group of people sitting around a table posing for a photo.,0.5,0.5,0.5,0.4,0.1,0.25,0.0,2.0,1.0
649868,549184,Two men are sitting on a couch in the background and a Wii controller is in the foreground.,0.1,0.0416666666666666,0.0708333333333333,0.1,0.0,0.05,0.0,1.5,0.75
514968,29913,A fire hydrant with a pair of eye stickers making a face on it.,0.25,1.0,0.625,0.1,0.2,0.15,1.0,1.5,1.25
103214,362966,A person holds a fork near a plate of food. ,1.0,0.0022988505747126,0.5011494252873563,0.2,0.0,0.1,0.0,2.0,1.0
516278,489719,An adult elephant and a baby elephant by a lake.,1.0,0.0454545454545454,0.5227272727272727,0.3,0.0,0.15,1.8333333333333333,2.0,1.9166666666666667
777772,141372,A clock post with two faces pointing to the same time,0.5,0.0833333333333333,0.2916666666666667,0.1,0.0,0.05,1.0,1.1666666666666663,1.0833333333333333
321774,553969,a small airplane sitting in the middle of an airstrip in a field,0.0714285714285714,0.0285714285714285,0.0499999999999999,0.0,0.0,0.0,0.8333333333333334,2.0,1.4166666666666667
738530,199575,a small dog is standing in a large kitchen,1.0,0.3333333333333333,0.6666666666666666,0.2,0.1,0.15,1.0,2.0,1.5
326941,494269,A white bathroom with a toilet and sink.,1.0,0.1,0.55,0.6,0.1,0.35,2.0,2.0,2.0
228602,138008,A moped is sitting alongside a green fence overlooking a white building and rock cliff.,1.0,0.25,0.625,0.1,0.1,0.1,-0.5,1.8333333333333333,0.6666666666666667
550650,568034,A brown dog sticking its head out an automobile window.,1.0,1.0,1.0,0.9,0.4,0.65,1.5,1.8333333333333333,1.6666666666666667
