,prompt,source,index,caption_id,precision,reciprocal_rank
0,A large slice of cheese pizza on a paper plate.,mscoco,4123,449128,0.3,0.75
1,Group of people eating food at an outdoor table.,mscoco,1333,177780,0.55,1.0
2,"A couple of plates of sausages, broccoli and purple food.",mscoco,4489,429269,0.1,1.0
3,A street scene with a railroad crossing and traffic lights.,mscoco,4014,402185,0.35,0.3214285714285714
4,Two brown and white cows in field with hazy sky.,mscoco,5071,342845,0.2,0.3333333333333333
5,A pasture with sheep inside a fence ,mscoco,3618,605307,0.5,0.6666666666666666
6,The kitchen has a small sink and a miniature stove.,mscoco,2659,300290,0.05,0.2596153846153846
7,A man watches a young boy play with his phone.,mscoco,2568,584262,0.05,0.06623134328358204
8,A refrigerator and a stove in a kitchen,mscoco,2090,338604,0.6000000000000001,0.6666666666666666
9,A person is holding a hot dog in their hand.,mscoco,972,287995,0.8,0.75
10,A bacon cheeseburger with a donut as the bun.,mscoco,688,93052,0.35,0.75
11,An empty hospital room is seen in this image.,mscoco,1314,757680,0.55,1.0
12,"A bathroom with a shower stall, sink and tub.",mscoco,1991,427767,0.0,0.00152886643655015
13,A living room with a christmas tree near the fireplace,mscoco,1592,129976,0.35,0.75
14,A red fire hydrant in a park near a tree. ,mscoco,3188,687233,0.3,0.625
15,A woman with glasses biting into a doughnut.,mscoco,5230,700242,0.4,0.41666666666666663
16,huge round bath tub with large mirror and window,mscoco,472,377574,0.1,0.35
17,two birds sitting on branches of a tree,mscoco,4429,105707,0.75,1.0
18,Close up of a cluster of white flowers with yellow stamen,mscoco,4684,139530,0.1,1.0
19,A baseball player holding his arm up with a ball in his hand.,mscoco,5254,532903,0.2,0.20833333333333331
20,A pizza in a pizza box with lots of toppings.,mscoco,2178,72160,0.8,0.75
21,A cat sitting next to a fish figurine on a window sill.,mscoco,2700,605034,0.1,0.1547619047619047
22,two red suitcases are in a room and a chair desk and a bed,mscoco,2533,123142,0.1,0.75
23,The inside of a bicycle store with numerous related items on display,mscoco,339,293384,0.5,1.0
24,A man walking down a dirt road holding an umbrella.,mscoco,4367,640873,0.25,1.0
25,The living area is open and brightly lit by the tall window.,mscoco,3623,470672,0.15,0.1477272727272727
26,"A cut of meat is served with rice, broccoli and other vegetables.",mscoco,3998,22845,0.05,0.11020408163265305
27,Orange tree with ripe oranges and green leaves.,mscoco,4550,66993,0.9,1.0
28,"A blurry night-time street scene shows a higher and lower roadway with overpasses and lots of traffic  going the same way, while to the left an area of red glare with an arrow and number, suggests a caution area. ",mscoco,1962,776388,0.05,0.2578125
29,A living room with couches and recliner chairs with a kitchen behind it.,mscoco,1834,726967,0.0,0.01781798245614035
