caption_id,caption,score,source
11042,A large slice of cheese pizza on a paper plate.,1.8333333333333333,mscoco
156802,Group of people eating food at an outdoor table.,2.0,mscoco
175353,"A couple of plates of sausages, broccoli and purple food.",1.9,mscoco
368626,A street scene with a railroad crossing and traffic lights.,1.6166666666666667,mscoco
12475,Two brown and white cows in field with hazy sky.,1.5,mscoco
93496,A pasture with sheep inside a fence ,2.0,mscoco
267844,The kitchen has a small sink and a miniature stove.,1.6875,mscoco
539098,A man watches a young boy play with his phone.,1.3666666666666667,mscoco
429990,A refrigerator and a stove in a kitchen,1.6666666666666663,mscoco
15735,A person is holding a hot dog in their hand.,1.9,mscoco
365115,A bacon cheeseburger with a donut as the bun.,1.7142857142857144,mscoco
72873,An empty hospital room is seen in this image.,2.0,mscoco
88915,"A bathroom with a shower stall, sink and tub.",1.75,mscoco
185834,A living room with a christmas tree near the fireplace,2.0,mscoco
516812,A red fire hydrant in a park near a tree. ,1.9924242424242424,mscoco
314298,A woman with glasses biting into a doughnut.,2.0,mscoco
5111,huge round bath tub with large mirror and window,1.5,mscoco
190617,two birds sitting on branches of a tree,2.0,mscoco
319612,Close up of a cluster of white flowers with yellow stamen,1.875,mscoco
301247,A baseball player holding his arm up with a ball in his hand.,1.4821428571428572,mscoco
133672,A pizza in a pizza box with lots of toppings.,2.0,mscoco
338224,A cat sitting next to a fish figurine on a window sill.,1.75,mscoco
330181,two red suitcases are in a room and a chair desk and a bed,1.5446428571428572,mscoco
449098,The inside of a bicycle store with numerous related items on display,2.0,mscoco
171590,A man walking down a dirt road holding an umbrella.,2.0,mscoco
365003,The living area is open and brightly lit by the tall window.,2.0,mscoco
286962,"A cut of meat is served with rice, broccoli and other vegetables.",2.0,mscoco
307480,Orange tree with ripe oranges and green leaves.,2.0,mscoco
421777,"A blurry night-time street scene shows a higher and lower roadway with overpasses and lots of traffic  going the same way, while to the left an area of red glare with an arrow and number, suggests a caution area. ",1.5833333333333337,mscoco
443944,A living room with couches and recliner chairs with a kitchen behind it.,2.0,mscoco
185519,A woman flying a kite on a beach while several people play.,1.898173515981735,mscoco
155212,A giraffe about to eat leaves from a tree,0.3333333333333333,mscoco
44627,A man who is performing a trick on a skateboard.,0.5,mscoco
566324,"A bedroom with tv, computer, and bookshelves in it.",1.5,mscoco
146186,The kitchen counter is covered with various cooking ingredients.,2.0,mscoco
202392,Pizza and spinach on a plate on the table.,1.4,mscoco
262162,A small bedroom with a desk and computer in it.,1.8333333333333333,mscoco
13020,A man lunging down to catch a frisbee on a field.,1.6333333333333333,mscoco
82833,this living room has a brown couch  and a white glass coffee table,2.0,mscoco
465786,A view of a sink and commode in a bathroom.,1.6666666666666663,mscoco
340602,A snowboarder rides a bench set up in the snow,1.6666666666666663,mscoco
98447,A blurry photo shows men sitting in car seats playing Wii at a party.,1.875,mscoco
372024,People interact during a soccer match with a large crowd.,2.0,mscoco
358399, a man playing with a wii mote ,1.8333333333333333,mscoco
145155,The healthy food is prepared on the plate ready to be eaten. ,2.0,mscoco
89446,A red train traveling over a bridge over a forest.,1.9166666666666663,mscoco
98882,The skateboarder does an aerial stunt of the stairs in the City.,2.0,mscoco
260942,A large elephant walks with a small elephant behind it.,2.0,mscoco
205473,A group of people are skiing while dressed in costumes.,1.9,mscoco
10229,a blue truck with bicycles tied down in the back,2.0,mscoco
509691,A bunch of ducks swimming around in a pond ,2.0,mscoco
264396,An electric train on a bridge crossing a river.,1.8333333333333333,mscoco
301799,"A bento box with chopsticks containing strawberries, carrots, sandwiches, broccoli, lettuce, and some other foods.",1.8166666666666669,mscoco
289971,two people cutting a cake on a table,1.75,mscoco
304008,Young man wearing shorts throws a frisbee among trees.,2.0,mscoco
482298,A red commuter train traveling down train tracks.,1.9166666666666663,mscoco
105611,A close-up of a dog in a boat wearing clothing.,2.0,mscoco
452083,A white and red train at a train station.,2.0,mscoco
29,Hovering cow abducting aliens.,2.0,drawbench
54329,Colorado Rockies' pitcher about to release ball from mound.,2.0,mscoco
261744,People stand on the beach underneath a green kite.,1.9,mscoco
281582,A large stack of Fedex boxes on a carpeted floor.,1.6,mscoco
515581,"The girl, a Kuwaiti kite flyer, is very happy ",1.875,mscoco
548393,Six different types of doughnuts are arranged in a box.,1.6666666666666667,mscoco
99094,Two yellow and white trains are riding the tracks into a station.,1.8333333333333333,mscoco
448974,A person holding a silver cell phone in their hand.,1.875,mscoco
335975,a building with a pole and some street signs,1.8,mscoco
499730,Two balconies are shown with a stop sign next to them. ,1.8333333333333333,mscoco
475509,a person standing in a living room playing nintendo wii,2.0,mscoco
