,prompt,source,index,precision,reciprocal_rank,caption_id
0,A large slice of cheese pizza on a paper plate.,mscoco,4123,0.5,1.0,449128
1,Group of people eating food at an outdoor table.,mscoco,1333,0.7,1.0,177780
2,"A couple of plates of sausages, broccoli and purple food.",mscoco,4489,0.1,1.0,429269
3,A street scene with a railroad crossing and traffic lights.,mscoco,4014,0.5,0.5,402185
4,Two brown and white cows in field with hazy sky.,mscoco,5071,0.2,0.3333333333333333,342845
5,A pasture with sheep inside a fence ,mscoco,3618,0.6,1.0,605307
6,The kitchen has a small sink and a miniature stove.,mscoco,2659,0.1,0.5,300290
7,A man watches a young boy play with his phone.,mscoco,2568,0.1,0.125,584262
8,A refrigerator and a stove in a kitchen,mscoco,2090,0.8,1.0,338604
9,A person is holding a hot dog in their hand.,mscoco,972,0.9,1.0,287995
10,A bacon cheeseburger with a donut as the bun.,mscoco,688,0.4,1.0,93052
11,An empty hospital room is seen in this image.,mscoco,1314,0.7,1.0,757680
12,"A bathroom with a shower stall, sink and tub.",mscoco,1991,0.0,0.0024449877750611247,427767
13,A living room with a christmas tree near the fireplace,mscoco,1592,0.5,1.0,129976
14,A red fire hydrant in a park near a tree. ,mscoco,3188,0.3,0.25,687233
15,A woman with glasses biting into a doughnut.,mscoco,5230,0.4,0.5,700242
16,huge round bath tub with large mirror and window,mscoco,472,0.1,0.5,377574
17,two birds sitting on branches of a tree,mscoco,4429,0.8,1.0,105707
18,Close up of a cluster of white flowers with yellow stamen,mscoco,4684,0.1,1.0,139530
19,A baseball player holding his arm up with a ball in his hand.,mscoco,5254,0.3,0.16666666666666666,532903
20,A pizza in a pizza box with lots of toppings.,mscoco,2178,0.7,0.5,72160
21,A cat sitting next to a fish figurine on a window sill.,mscoco,2700,0.1,0.14285714285714285,605034
22,two red suitcases are in a room and a chair desk and a bed,mscoco,2533,0.1,0.5,123142
23,The inside of a bicycle store with numerous related items on display,mscoco,339,0.5,1.0,293384
24,A man walking down a dirt road holding an umbrella.,mscoco,4367,0.3,1.0,640873
25,The living area is open and brightly lit by the tall window.,mscoco,3623,0.3,0.25,470672
26,"A cut of meat is served with rice, broccoli and other vegetables.",mscoco,3998,0.1,0.2,22845
27,Orange tree with ripe oranges and green leaves.,mscoco,4550,1.0,1.0,66993
28,"A blurry night-time street scene shows a higher and lower roadway with overpasses and lots of traffic  going the same way, while to the left an area of red glare with an arrow and number, suggests a caution area. ",mscoco,1962,0.0,0.015625,776388
29,A living room with couches and recliner chairs with a kitchen behind it.,mscoco,1834,0.0,0.03125,726967
30,A woman flying a kite on a beach while several people play.,mscoco,2449,0.2,1.0,84236
31,A giraffe about to eat leaves from a tree,mscoco,3259,0.6,1.0,739040
32,A man who is performing a trick on a skateboard.,mscoco,1019,0.1,0.1,524938
33,"A bedroom with tv, computer, and bookshelves in it.",mscoco,2737,0.0,0.013333333333333334,631973
34,The kitchen counter is covered with various cooking ingredients.,mscoco,5751,0.6,0.5,367377
35,Pizza and spinach on a plate on the table.,mscoco,2679,0.7,1.0,555854
36,A small bedroom with a desk and computer in it.,mscoco,2316,0.8,1.0,769046
37,A man lunging down to catch a frisbee on a field.,mscoco,4326,0.1,0.5,503305
38,this living room has a brown couch  and a white glass coffee table,mscoco,1892,0.0,0.06666666666666667,454234
39,A view of a sink and commode in a bathroom.,mscoco,5721,0.3,1.0,502993
40,A snowboarder rides a bench set up in the snow,mscoco,5897,0.1,0.2,488281
